seed, type, density, mode, subchromatique, idnoeud, score
1710090403, ER, 0.1, SCA, 27, 119, 0.5
1710090403, ER, 0.1, SCA, 27, 120, 0.5
1710090403, ER, 0.1, SCA, 27, 121, 1
1710090403, ER, 0.1, SCA, 27, 122, 1
1710090403, ER, 0.1, SCA, 27, 123, 0.5
1710090403, ER, 0.1, SCA, 27, 124, 1
1710090403, ER, 0.1, SCA, 27, 125, 1
1710090403, ER, 0.1, SCA, 27, 126, 1
1710090403, ER, 0.1, SCA, 27, 127, 1
1710090403, ER, 0.1, SCA, 27, 128, 1
1710090403, ER, 0.1, SCA, 27, 129, 0.5
1710090403, ER, 0.1, SCA, 27, 130, 1
1710090403, ER, 0.1, SCA, 27, 131, 0.5
1710090403, ER, 0.1, SCA, 27, 132, 1
1710090403, ER, 0.1, SCA, 27, 133, 1
1710090403, ER, 0.1, SCA, 27, 134, 1
1710090403, ER, 0.1, SCA, 27, 135, 1
1710090403, ER, 0.1, SCA, 27, 136, 1
1710090403, ER, 0.1, SCA, 27, 137, 1
1710090403, ER, 0.1, SCA, 27, 138, 1
1710090403, ER, 0.1, SCA, 27, 139, 1
1710090403, ER, 0.1, SCA, 27, 140, 1
1710090403, ER, 0.1, SCA, 27, 141, 1
1710090403, ER, 0.1, SCA, 27, 142, 1
1710090403, ER, 0.1, SCA, 27, 143, 1
1710090403, ER, 0.1, SCA, 27, 144, 1
1710090403, ER, 0.1, SCA, 27, 145, 1
1710090403, ER, 0.1, SCA, 27, 146, 1
1710090403, ER, 0.1, SCA, 27, 147, 1
1710090403, ER, 0.1, SCA, 27, 148, 1
1710090403, ER, 0.1, SCA, 27, 149, 0.5
1710090403, ER, 0.1, SCA, 27, 150, 1
1710090403, ER, 0.1, SCA, 27, 151, 1
1710090403, ER, 0.1, SCA, 27, 152, 1
1710090403, ER, 0.1, SCA, 27, 153, 1
1710090403, ER, 0.1, SCA, 27, 154, 0.5
1710090403, ER, 0.1, SCA, 27, 155, 1
1710090403, ER, 0.1, SCA, 27, 156, 1
1710090403, ER, 0.1, SCA, 27, 157, 1
1710090403, ER, 0.1, SCA, 27, 158, 1
1710090403, ER, 0.1, SCA, 27, 159, 0.5
1710090403, ER, 0.1, SCA, 27, 160, 1
1710090403, ER, 0.1, SCA, 27, 161, 1
1710090403, ER, 0.1, SCA, 27, 162, 0.5
1710090403, ER, 0.1, SCA, 27, 163, 1
1710090403, ER, 0.1, SCA, 27, 164, 1
1710090403, ER, 0.1, SCA, 27, 165, 1
1710090403, ER, 0.1, SCA, 27, 166, 1
1710090403, ER, 0.1, SCA, 27, 167, 1
1710090403, ER, 0.1, SCA, 27, 168, 1
1710090403, ER, 0.1, SCA, 27, 169, 1
1710090403, ER, 0.1, SCA, 27, 170, 1
1710090403, ER, 0.1, SCA, 27, 171, 1
1710090403, ER, 0.1, SCA, 27, 172, 1
1710090403, ER, 0.1, SCA, 27, 173, 1
1710090403, ER, 0.1, SCA, 27, 174, 1
1710090403, ER, 0.1, SCA, 27, 175, 1
1710090403, ER, 0.1, SCA, 27, 176, 1
1710090403, ER, 0.1, SCA, 27, 177, 1
1710090403, ER, 0.1, SCA, 27, 178, 1
1710090403, ER, 0.1, SCA, 27, 179, 1
1710090403, ER, 0.1, SCA, 27, 180, 1
1710090403, ER, 0.1, SCA, 27, 181, 1
1710090403, ER, 0.1, SCA, 27, 182, 1
1710090403, ER, 0.1, SCA, 27, 183, 1
1710090403, ER, 0.1, SCA, 27, 184, 1
1710090403, ER, 0.1, SCA, 27, 185, 0.5
1710090403, ER, 0.1, SCA, 27, 186, 0.5
1710090403, ER, 0.1, SCA, 27, 187, 0.5
1710090403, ER, 0.1, SCA, 27, 188, 1
1710090403, ER, 0.1, SCA, 27, 189, 1
1710090403, ER, 0.1, SCA, 27, 190, 1
1710090403, ER, 0.1, SCA, 27, 191, 1
1710090403, ER, 0.1, SCA, 27, 192, 0.5
1710090403, ER, 0.1, SCA, 27, 193, 0.5
1710090403, ER, 0.1, SCA, 27, 194, 1
1710090403, ER, 0.1, SCA, 27, 195, 1
1710090403, ER, 0.1, SCA, 27, 196, 1
1710090403, ER, 0.1, SCA, 27, 197, 1
1710090403, ER, 0.1, SCA, 27, 198, 0.5
1710090403, ER, 0.1, SCA, 27, 199, 1
1710090403, ER, 0.1, SCA, 27, 200, 0.5
1710090403, ER, 0.1, SCA, 27, 201, 1
1710090403, ER, 0.1, SCA, 27, 202, 1
1710090403, ER, 0.1, SCA, 27, 203, 1
1710090403, ER, 0.1, SCA, 27, 204, 1
1710090403, ER, 0.1, SCA, 27, 205, 0.5
1710090403, ER, 0.1, SCA, 27, 206, 0.5
1710090403, ER, 0.1, SCA, 27, 207, 1
1710090403, ER, 0.1, SCA, 27, 208, 1
1710090403, ER, 0.1, SCA, 27, 209, 1
1710090403, ER, 0.1, SCA, 27, 210, 1
1710090403, ER, 0.1, SCA, 27, 211, 1
1710090403, ER, 0.1, SCA, 27, 212, 1
1710090403, ER, 0.1, SCA, 27, 213, 1
1710090403, ER, 0.1, SCA, 27, 214, 0.5
1710090403, ER, 0.1, SCA, 27, 215, 0.5
1710090403, ER, 0.1, SCA, 27, 216, 1
1710090403, ER, 0.1, SCA, 27, 217, 1
1710090403, ER, 0.1, SCA, 27, 218, 1
1710090403, ER, 0.1, SCA, 27, 219, 1
1710090403, ER, 0.1, SCA, 27, 220, 1
1710090403, ER, 0.1, SCA, 27, 221, 0.5
1710090403, ER, 0.1, SCA, 27, 222, 1
1710090403, ER, 0.1, SCA, 27, 223, 1
1710090403, ER, 0.1, SCA, 27, 224, 1
1710090403, ER, 0.1, SCA, 27, 225, 1
1710090403, ER, 0.1, SCA, 27, 226, 0.5
1710090403, ER, 0.1, SCA, 27, 227, 1
1710090403, ER, 0.1, SCA, 27, 228, 1
1710090403, ER, 0.1, SCA, 27, 229, 1
1710090403, ER, 0.1, SCA, 27, 230, 1
1710090403, ER, 0.1, SCA, 27, 231, 1
1710090403, ER, 0.1, SCA, 27, 232, 1
1710090403, ER, 0.1, SCA, 27, 233, 1
1710090403, ER, 0.1, SCA, 27, 234, 1
1710090403, ER, 0.1, SCA, 27, 235, 0.5
1710090403, ER, 0.1, SCA, 27, 236, 1
1710090403, ER, 0.1, SCA, 27, 237, 1
1710090403, ER, 0.1, SCA, 27, 238, 1
1710090403, ER, 0.1, SCA, 27, 239, 1
1710090403, ER, 0.1, SCA, 27, 240, 1
1710090403, ER, 0.1, SCA, 27, 241, 0.5
1710090403, ER, 0.1, SCA, 27, 242, 0.5
1710090403, ER, 0.1, SCA, 27, 243, 0.5
1710090403, ER, 0.1, SCA, 27, 244, 1
1710090403, ER, 0.1, SCA, 27, 245, 0.5
1710090403, ER, 0.1, SCA, 27, 246, 1
1710090403, ER, 0.1, SCA, 27, 247, 1
1710090403, ER, 0.1, SCA, 27, 248, 1
1710090403, ER, 0.1, SCA, 27, 249, 1
1710090403, ER, 0.1, SCA, 27, 250, 1
1710090403, ER, 0.1, SCA, 27, 251, 1
1710090403, ER, 0.1, SCA, 27, 252, 1
1710090403, ER, 0.1, SCA, 27, 253, 1
1710090403, ER, 0.1, SCA, 27, 254, 1
1710090403, ER, 0.1, SCA, 27, 255, 1
1710090403, ER, 0.1, SCA, 27, 256, 1
