ns3, theo
0.942893, 1
0.0597064, 0
0.470622, 0.522
0.482142, 0.477
0.932884, 1
0.538972, 0.52
0.544603, 0.479
0.54, 0.504
0.540035, 0.496
0.466339, 0.464
0.0765717, 0
0.528454, 0.535
0.5369, 0.541
0.541684, 0.458
0.882202, 1
0.126252, 0
0.827496, 1
0.122029, 0
